-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 06/12/2025 in LST
Location: latitude  5.0726   longitude -75.9627 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1019.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2) 
CDD18_3                 CERES SYN1deg Cooling Degree Days Above 18.3 C (degree-day-c) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,CDD18_3
2022,10,1,1.65,153.32,110.89,2.75
2022,10,2,2.5,251.59,107.63,4.74
2022,10,3,3.06,269.56,91.18,4.51
2022,10,4,2.65,199.47,140.0,2.83
2022,10,5,2.81,198.99,127.51,2.63
2022,10,6,2.72,193.8,117.56,3.06
2022,10,7,2.68,209.95,95.7,2.87
2022,10,8,2.11,140.56,91.1,1.88
2022,10,9,2.49,175.84,97.7,3.77
2022,10,10,3.09,260.98,97.57,2.66
2022,10,11,2.46,211.48,98.46,4.43
2022,10,12,2.5,189.64,115.95,2.12
2022,10,13,2.67,189.12,117.43,2.2
2022,10,14,2.8,212.28,96.17,3.05
2022,10,15,2.56,203.13,109.07,2.65
2022,10,16,2.79,211.43,104.93,3.02
2022,10,17,2.72,196.07,93.54,2.0
2022,10,18,2.32,159.91,85.88,2.91
2022,10,19,1.88,184.38,86.47,2.69
2022,10,20,1.53,136.67,86.57,2.52
2022,10,21,2.02,190.57,100.41,3.15
2022,10,22,2.03,193.5,92.27,2.67
2022,10,23,1.83,167.51,91.69,3.08
2022,10,24,1.67,154.42,95.73,4.06
2022,10,25,2.03,199.83,110.6,2.56
2022,10,26,1.67,152.36,107.51,2.56
2022,10,27,2.61,201.27,94.33,3.09
2022,10,28,2.19,150.32,98.89,2.22
2022,10,29,2.42,181.26,96.79,3.25
